,score,target,predicted_proba
138987,524.7076502490987,0,0.2137296135966235
63965,522.4555286604902,0,0.22713911008009155
46078,511.80732346575263,0,0.29828085193971343
83032,527.2090251201138,0,0.1995227168372867
11185,475.8380917250697,0,0.5965476729366785
145871,535.0332439063634,0,0.15970202651714965
72658,509.02492969456114,0,0.3188487929312436
76755,513.7051294036951,0,0.28469905262651196
15448,533.4681830229877,0,0.1671160357758316
23014,468.7767191202814,0,0.6538100726036302
106082,525.0730705044059,0,0.2116090698175373
96676,449.8584313766617,0,0.7843988141670147
47287,516.9690161815569,1,0.2622342084490806
97165,524.0470752212627,0,0.21760210797669347
136903,462.2637132118579,1,0.7029850052393729
79236,499.2274255559047,0,0.3966335988891065
61299,516.1143222564492,1,0.26800521417197204
1478,551.5359143960271,0,0.09687969770955239
38318,521.6649543202603,0,0.23198488365143166
3633,523.3884739735779,0,0.22151320203650776
10403,446.10905315467744,0,0.8055626212392973
78147,471.7452184460236,0,0.6301706577496893
24023,533.4775757147557,0,0.1670707313011282
149843,517.5393392052893,0,0.25842816358358806
147190,513.0570847323091,0,0.28929486231456514
146379,526.5422485428406,0,0.20323912842565847
124853,518.6201177646785,0,0.251314998642345
127951,469.26764558215564,0,0.6499490223163823
46994,534.2361924171055,0,0.1634439897165691
101550,395.96143153180776,1,0.9592780971244141
132608,468.46706938553876,0,0.6562350728144506
98478,531.2688634493957,0,0.17799612487903405
52906,511.7338728763617,0,0.29881394408583006
92008,470.1874144291847,1,0.642662359757933
61641,524.0573632219485,0,0.21754141010152755
93432,437.31796039646156,0,0.848913765810979
147785,550.2976133460959,0,0.10070012104013999
86288,546.7924425297646,0,0.11224721601234111
87494,478.33635470697914,0,0.5755465158935701
64118,456.1075799595742,0,0.745529209518615
138857,450.6741613111975,0,0.7795792615049655
73484,537.4990097312747,0,0.1485646005744306
39438,525.4518057683657,0,0.20942754570976757
14556,457.4838674395809,0,0.7363745936839421
46693,518.0708253770929,0,0.2549138535487127
46890,522.7824180426481,0,0.2251564674187093
22282,515.2258588660195,0,0.27408887798644266
143947,535.9059419999381,0,0.1556848273928944
76431,448.69476644556767,0,0.7911409954678051
5372,520.7311657600312,0,0.23780080597778303
59847,493.4753420927362,0,0.445181321682633
139284,515.4087869586527,0,0.27282929229997255
70462,498.16146070881564,0,0.40550763138676577
14001,542.304186416005,0,0.12870714941967626
93847,536.226285005709,0,0.15423104250078518
87979,530.3391475535888,0,0.18275957592300535
85962,542.8398548379691,0,0.126639567981818
3899,534.4191309376018,0,0.1625789472356423
37105,472.7561371335143,0,0.6219688082837411
149360,513.8531930335308,0,0.28365520243010006
126558,532.1594802039639,0,0.17352474663524867
100409,553.938138502235,0,0.08983587597897727
105484,550.1518544929943,0,0.10115851714048225
44650,457.5288021014911,0,0.736072165116828
124262,534.1588538131211,0,0.1638108050328899
118168,495.61924980401295,0,0.4269118799496304
76945,488.4637241362892,0,0.4883845281667587
107915,450.44230257063066,1,0.7809569617932923
68342,513.4526882756116,0,0.286484086480459
40113,510.9054518005764,0,0.30486410030407035
85622,534.8380721841036,0,0.1606118460665111
5721,517.5448159945713,0,0.25839178928295753
110202,558.0130191324591,0,0.07893796240377147
124411,453.97304669802315,0,0.7593072979442352
46809,523.6299497642915,0,0.22007338801890874
57547,471.2058265376361,0,0.6345166734555721
43455,464.0312160320194,1,0.6900377856721116
20863,519.5183726297397,0,0.2455029600712026
17021,443.00683871376674,0,0.8218519539565359
35552,542.3911341532208,0,0.1283696021446197
134369,536.226285005709,0,0.15423104250078518
24665,523.5263219659362,0,0.22069045083145752
90196,554.8502430710774,0,0.08728447243901469
28395,516.0138906858682,0,0.2686886021704806
43875,528.7193109518444,0,0.19129420953600498
40456,498.8536449632858,0,0.39973786311532583
61380,468.4459833193767,0,0.6563999127483044
104810,470.9356467958394,0,0.6366854210160953
28867,548.1108771561018,0,0.10777399772467763
21249,514.2383448476254,0,0.28095073671596826
81685,483.3871726540207,0,0.5323222675510215
78876,473.426233701467,1,0.6164930856253419
59780,535.8612644928124,0,0.1558884691312673
120769,469.5191826785024,0,0.6479630489296885
116174,540.8867935450567,0,0.1343170845234833
120683,504.090939461724,0,0.3570782077358916
28043,510.3874409186224,0,0.3086819845957891
59358,548.635307845291,1,0.10603869391088716
69215,498.7953750223319,0,0.40022253081343784
127924,465.66866388004803,0,0.6777708557083347
94068,517.673826652298,0,0.25753592546207904
89050,525.3116255277695,0,0.2102330547356148
136131,530.4323107340595,0,0.18227782255931937
100025,430.92675106871286,0,0.8751857245896263
14233,460.78068336781325,0,0.7136036150837745
45633,518.0478837229682,0,0.25506489798589865
72527,416.6048212133967,1,0.9201193357126252
142669,544.726415690783,0,0.11958283351265782
108411,552.8549466652088,0,0.09295302641374985
70990,469.7361599380785,0,0.6462458143736074
69359,520.4943834028333,0,0.23929140089605577
35123,472.4884431816841,0,0.6241477017433948
106466,477.56615661499393,0,0.582053920351345
29961,543.237310466457,0,0.12512387099911101
32615,488.4320281951332,0,0.48865900783608907
143006,488.35832647446256,1,0.4892972741970444
75994,546.1895631439527,0,0.11434620656838927
140698,537.0482136322079,0,0.15055172421028232
117168,537.6833806663386,0,0.14775814707484583
17951,479.71422205513943,0,0.5638407407167517
82466,502.4883222411654,0,0.36992798287883266
114400,505.19538779118915,0,0.3483396405738012
98766,515.8120307001831,0,0.2700654910015808
59226,442.027354256205,0,0.8267679008414831
61541,521.2257712140408,0,0.2347078196185434
46040,541.408211803385,0,0.1322297138503142
51303,537.8421260202772,0,0.14706668419045923
35707,526.9860951613081,0,0.20075955392589281
128977,532.4543927873195,0,0.17206381631339282
22871,524.2728913252444,0,0.2162726330266426
143570,456.4633573540878,0,0.7431828870566837
126868,502.5545919857052,0,0.3693928172347942
144830,532.1491314767989,0,0.17357618942676392
77634,517.1513786747009,0,0.2610132939108312
46960,510.42403584227236,0,0.30841140188455746
130165,511.31553059646626,0,0.3018605927887012
132112,539.406214881169,0,0.14039628689589254
55837,469.1183345344634,0,0.6511254362821776
17303,488.8355248568832,0,0.4851653852801922
5716,488.4363593427693,0,0.48862150067172005
55192,527.2416816557774,0,0.19934201639185997
37345,535.8641590255172,0,0.1558752691668837
42604,544.0448705537287,0,0.12209210192175961
14684,404.07558237526035,1,0.9467581976163165
76885,453.2433433100358,0,0.7638988617246734
70778,512.2119306299636,0,0.29535411347391577
